iter	RMSE
0	138910.7056
1	137999.2726
2	137031.3307
3	136022.674
4	135298.7979
5	134523.5645
6	133737.6709
7	133028.3326
8	132143.8969
9	131156.1816
10	130434.6677
11	129690.2046
12	128983.961
13	127991.1989
14	127335.0512
15	126408.606
16	125811.376
17	125036.2996
18	124330.6645
19	123612.4755
20	122777.0363
21	122095.624
22	121418.5638
23	120770.0184
24	120264.9892
25	119676.866
26	119046.2546
27	118390.3479
28	117821.5673
29	117255.4749
30	116890.0085
31	116112.7039
32	115441.3588
33	115188.3388
34	114304.6992
35	113681.1637
36	113251.2088
37	112607.26
38	111929.0354
39	111265.2875
40	110717.5929
41	110249.6611
42	109619.5512
43	109175.5909
44	108574.4698
45	108134.4151
46	107700.684
47	107148.0662
48	106629.5724
49	106195.0249
50	105560.9069
51	105167.7794
52	104796.7782
53	104303.6104
54	103524.8265
55	102986.6225
56	102501.9203
57	102228.9413
58	101776.4168
59	101450.1398
60	101046.2913
61	100401.1338
62	100182.0355
63	99833.93607
64	99423.47473
65	98967.77311
66	98675.77454
67	98482.0448
68	97985.82906
69	97674.19606
70	97352.01429
71	97106.32717
72	96868.41961
73	96743.46106
74	96551.73284
75	96340.74477
76	96113.82727
77	95657.75952
78	95344.1743
79	94849.85031
80	94635.26168
81	94458.4531
82	94100.19273
83	93727.25256
84	93569.98139
85	93273.09949
86	92821.3953
87	92517.07918
88	92103.21037
89	91697.74096
90	91385.51968
91	91123.74474
92	90863.13903
93	90606.5647
94	90263.78791
95	90045.87583
96	89764.8222
97	89489.40582
98	89214.40674
99	88743.18439
100	88639.02411
101	88354.34161
102	88126.5032
103	87781.30332
104	87283.78548
105	86848.75484
106	86382.97262
107	86057.15764
108	85697.04035
109	85557.69463
110	85135.87083
111	84775.72838
112	84597.30026
113	84191.7385
114	83949.41755
115	83487.89997
116	83376.71682
117	83137.96089
118	82786.16549
119	82451.3113
120	82348.52436
121	81892.21712
122	81708.40121
123	81595.42202
124	81322.84392
125	81162.07433
126	80913.61248
127	80735.83009
128	80601.73139
129	80236.19807
130	79818.62539
131	79561.73229
132	79339.29536
133	79200.52124
134	78859.79422
135	78472.9143
136	78134.96317
137	77856.26673
138	77670.17031
139	77332.71286
140	76905.51979
141	76713.26888
142	76446.76836
143	76241.97253
144	75990.36174
145	75725.87322
146	75478.12876
147	75358.99273
148	75173.51244
149	75052.23005
150	74937.41805
151	74839.08218
152	74523.94489
153	74422.41079
154	74143.15616
155	74053.1631
156	73866.64247
157	73673.08133
158	73553.151
159	73375.40373
160	73006.86763
161	72797.84884
162	72656.28769
163	72421.79468
164	72142.87599
165	72071.61441
166	71911.30244
167	71713.78993
168	71461.07885
169	71392.45626
170	71293.17753
171	70993.78535
172	70883.24291
173	70501.00949
174	70185.5458
175	70059.79188
176	69962.26181
177	69840.76712
178	69680.11747
179	69558.15853
180	69361.90751
181	69156.25524
182	68936.16135
183	68819.22761
184	68695.9584
185	68521.07915
186	68217.58481
187	68143.32669
188	67923.88873
189	67807.34148
190	67700.73693
191	67340.25346
192	67161.21455
193	67059.51767
194	66741.03293
195	66441.3192
196	66302.83194
197	66140.90984
198	65821.02392
199	65650.5226
200	65506.79039
201	65064.08833
202	64790.76901
203	64581.19947
204	64476.24754
205	64180.85549
206	64013.15261
207	63956.49109
208	63749.68138
209	63428.48058
210	63214.07932
211	63113.846
212	62853.50095
213	62768.50187
214	62714.06559
215	62548.37021
216	62346.35807
217	62116.71746
218	61815.92266
219	61587.64014
220	61392.18125
221	61084.08464
222	60974.46823
223	60906.62838
224	60789.64779
225	60376.98529
226	60283.42873
227	60093.1054
228	59825.41726
229	59764.92442
230	59505.85734
231	59409.15169
232	59364.15985
233	59248.19389
234	59114.73169
235	58864.12601
236	58822.76528
237	58723.54315
238	58660.21563
239	58421.18373
240	58071.33101
241	57778.59177
242	57551.56072
243	57279.40361
244	57124.11633
