iter	Passed	Remaining
0	11	8193
1	13	4885
2	15	3698
3	17	3005
4	18	2554
5	19	2293
6	21	2108
7	22	1959
8	24	1848
9	25	1754
10	26	1689
11	28	1657
12	30	1626
13	32	1584
14	34	1569
15	35	1533
16	37	1514
17	38	1472
18	40	1437
19	41	1410
20	42	1380
21	44	1368
22	46	1355
23	47	1347
24	49	1329
25	50	1320
26	52	1306
27	53	1291
28	55	1275
29	56	1265
30	59	1276
31	60	1268
32	62	1255
33	63	1236
34	64	1233
35	66	1223
36	67	1211
37	69	1204
38	71	1203
39	72	1196
40	74	1193
41	75	1182
42	76	1176
43	78	1164
44	79	1154
45	80	1150
46	82	1144
47	83	1135
48	84	1127
49	86	1119
50	87	1111
51	89	1111
52	90	1110
53	92	1104
54	93	1096
55	94	1088
56	95	1080
57	96	1071
58	98	1065
59	99	1057
60	100	1050
61	101	1043
62	103	1051
63	105	1051
64	107	1048
65	109	1048
66	110	1046
67	112	1047
68	114	1046
69	116	1045
70	117	1041
71	119	1038
72	121	1040
73	123	1041
74	124	1035
75	125	1030
76	126	1026
77	127	1020
78	129	1017
79	130	1012
80	131	1008
81	133	1003
82	134	1002
83	136	999
84	137	994
85	138	989
86	139	986
87	141	981
88	142	976
89	143	973
90	144	969
91	146	966
92	147	961
93	148	957
94	150	959
95	152	959
96	153	957
97	155	954
98	156	950
99	157	947
100	159	945
101	160	941
102	161	938
103	163	934
104	164	931
105	166	930
106	168	934
107	170	934
108	172	933
109	173	931
110	174	928
111	176	924
112	177	922
113	178	918
114	179	915
115	182	917
116	183	913
117	184	910
118	185	906
119	186	902
120	187	898
121	188	894
122	190	893
123	191	889
124	192	886
125	193	882
126	194	878
127	196	876
128	197	874
129	198	871
130	199	867
131	201	865
132	202	862
133	203	859
134	204	856
135	206	855
136	207	852
137	208	849
138	210	849
139	212	849
140	213	847
141	215	845
142	216	843
143	217	840
144	218	838
145	220	835
146	221	834
147	223	832
148	224	830
149	226	829
150	228	829
151	229	828
152	231	826
153	232	823
154	233	820
155	234	818
156	236	816
157	237	814
158	239	813
159	240	811
160	242	811
161	244	811
162	245	809
163	247	808
164	248	806
165	250	804
166	251	802
167	252	800
168	254	798
169	255	796
170	257	797
171	259	795
172	260	794
173	262	794
174	263	791
175	264	788
176	266	786
177	267	783
178	268	780
179	269	778
180	270	775
181	271	773
182	272	771
183	274	768
184	275	766
185	276	763
186	277	761
187	278	759
188	280	757
189	281	755
190	282	752
191	283	749
192	284	747
193	285	745
194	287	743
195	288	741
196	289	739
197	290	736
198	291	734
199	292	731
200	293	729
201	294	727
202	295	724
203	297	722
204	298	720
205	299	717
206	300	715
207	301	712
208	302	710
209	303	708
210	304	706
211	305	704
212	306	701
213	308	699
214	309	697
215	310	695
216	311	693
217	312	691
218	313	688
219	314	686
220	315	684
221	317	682
222	318	681
223	319	679
224	320	676
225	321	674
226	322	672
227	324	671
228	325	669
229	326	667
230	327	665
231	328	663
232	329	661
233	331	659
234	332	657
235	333	655
236	334	654
237	336	653
238	337	651
239	339	650
240	340	648
241	341	646
242	342	644
243	343	642
244	344	639
245	345	637
